Country,Year,Disaster Type,Total Deaths,Total Affected,Total Damage ('000 US$)
Bosnia and Herzegovina,2005,Storm,4,0,0
Bosnia and Herzegovina,2007,Extreme temperature,0,0,0
Bosnia and Herzegovina,2009,Extreme temperature,1,10000,0
Bosnia and Herzegovina,2009,Flood,0,3730,0
Bosnia and Herzegovina,2010,Flood,3,34910,87000
Bosnia and Herzegovina,2012,Extreme temperature,4,10347,0
Bosnia and Herzegovina,2014,Flood,26,1000600,436580
Bosnia and Herzegovina,2015,Flood,0,0,0
Bosnia and Herzegovina,2019,Flood,1,759,0
Bosnia and Herzegovina,2020,Flood,0,15000,0
Bosnia and Herzegovina,2021,Flood,0,250000,0
Bosnia and Herzegovina,2022,Flood,1,3000,0
Bosnia and Herzegovina,2023,Flood,0,10000,0
Bosnia and Herzegovina,2023,Storm,1,20,0
Bosnia and Herzegovina,2024,Flood,27,5000,10000
Bosnia and Herzegovina,2025,Flood,0,3000,0
Brazil,1990,Flood,24,2800,0
Brazil,1991,Flood,20,17000,2000
Brazil,1992,Flood,107,147493,25800
Brazil,1994,Extreme temperature,0,0,475000
Brazil,1994,Storm,0,1000,70000
Brazil,1995,Flood,110,33800,3000
Brazil,1996,Flood,15,7000,0
Brazil,1997,Flood,90,62200,0
Brazil,1997,Storm,3,676,0
Brazil,1998,Drought,0,10000000,122000
Brazil,1998,Flood,13,47500,1000
Brazil,1998,Wildfire,1,12000,36000
Brazil,1999,Flood,7,0,0
Brazil,1999,Wildfire,0,0,0
Brazil,2000,Flood,48,87000,0
Brazil,2001,Drought,0,1000000,0
Brazil,2001,Flood,85,11046,45000
Brazil,2001,Storm,13,3400,0
Brazil,2002,Drought,0,0,0
Brazil,2002,Flood,17,3500,0
Brazil,2003,Flood,255,205981,303000
Brazil,2004,Drought,0,0,1650000
Brazil,2004,Extreme temperature,0,0,0
Brazil,2004,Flood,35,5254,370
Brazil,2004,Storm,4,150060,350000
Brazil,2005,Drought,0,0,0
Brazil,2005,Flood,47,41000,0
Brazil,2005,Storm,2,344,0
Brazil,2006,Flood,20,116000,0
Brazil,2007,Drought,0,1000000,0
Brazil,2007,Flood,69,206352,125000
Brazil,2008,Flood,200,1752391,1110000
Brazil,2008,Storm,3,1600,0
Brazil,2009,Flood,90,1862648,600000
Brazil,2009,Storm,4,2364,0
Brazil,2010,Drought,0,62000,0
Brazil,2010,Extreme temperature,32,0,0
Brazil,2010,Flood,363,244938,802000
Brazil,2011,Flood,978,1215600,1002000
Brazil,2012,Drought,0,4000000,1460000
Brazil,2012,Flood,3,299000,171000
Brazil,2013,Flood,119,247410,545500
Brazil,2013,Storm,2,13864,90000
Brazil,2014,Drought,0,27000000,5000000
Brazil,2014,Flood,41,618152,200000
Brazil,2015,Flood,11,298510,2000
Brazil,2015,Storm,2,11037,2000
Brazil,2016,Flood,33,50500,200000
Brazil,2017,Flood,14,104140,100000
Brazil,2018,Flood,7,1250,53000
Brazil,2019,Flood,47,46778,0
Brazil,2019,Wildfire,0,10002195,0
Brazil,2020,Drought,0,0,3000000
Brazil,2020,Flood,151,17161,500000
Brazil,2020,Storm,12,1119,100000
Brazil,2021,Drought,0,0,3000000
Brazil,2021,Flood,62,1608050,543000
Brazil,2022,Drought,0,0,4000000
Brazil,2022,Flood,528,224081,1141000
Brazil,2023,Drought,0,608000,2500000
Brazil,2023,Flood,124,288246,411200
Brazil,2023,Storm,47,343274,940000
Brazil,2024,Drought,0,0,6050000
Brazil,2024,Flood,244,2588933,7560000
Brazil,2024,Storm,4,29655,0
Brazil,2025,Flood,0,780,0
Brazil,2025,Storm,9,130,0
British Virgin Islands,1996,Storm,0,3,2000
British Virgin Islands,2017,Storm,9,0,3000000
Bulgaria,1993,Storm,0,5000,0
Bulgaria,1997,Flood,1,200,0
Bulgaria,1998,Extreme temperature,3,323,0
Bulgaria,1999,Storm,0,850,0
Bulgaria,2000,Drought,0,0,0
Bulgaria,2000,Extreme temperature,7,0,50
Bulgaria,2000,Wildfire,7,167,17600
Bulgaria,2001,Storm,2,0,0
Bulgaria,2001,Wildfire,0,0,0
Bulgaria,2002,Flood,1,0,1000
Bulgaria,2005,Flood,39,12200,457000
Bulgaria,2005,Storm,0,0,0
Bulgaria,2006,Extreme temperature,18,20,0
Bulgaria,2006,Flood,0,0,0
Bulgaria,2007,Extreme temperature,2,50,0
Bulgaria,2007,Flood,12,1070,0
Bulgaria,2007,Wildfire,3,9,2454
Bulgaria,2008,Extreme temperature,10,0,0
Bulgaria,2010,Extreme temperature,3,0,0
Bulgaria,2010,Flood,0,90,0
Bulgaria,2012,Extreme temperature,33,0,0
Bulgaria,2012,Flood,5,37950,4400
Bulgaria,2014,Flood,20,8507,387000
Bulgaria,2014,Storm,1,40,545000
Bulgaria,2015,Flood,5,0,5800
Bulgaria,2018,Flood,0,600,0
Bulgaria,2021,Flood,0,25,0
Bulgaria,2021,Wildfire,0,500,0
Bulgaria,2022,Extreme temperature,1277,0,0
Bulgaria,2022,Flood,0,10937,47000
Bulgaria,2023,Extreme temperature,1670,0,0
Bulgaria,2023,Flood,4,4000,0
Bulgaria,2023,Storm,4,36,0
Canada,1990,Flood,8,0,8500
Canada,1991,Storm,0,0,500000
Canada,1992,Extreme temperature,0,0,2000000
Canada,1992,Wildfire,0,0,120000
Canada,1993,Flood,0,200,0
Canada,1994,Storm,0,1304,3000
Canada,1994,Wildfire,0,3000,0
Canada,1995,Flood,0,5600,73300
Canada,1995,Storm,2,0,100000
Canada,1995,Wildfire,0,6500,89500
Canada,1996,Flood,10,12000,729600
Canada,1996,Storm,0,0,100
Canada,1997,Flood,4,29000,120000
Canada,1997,Storm,1,0,10000
Canada,1997,Wildfire,0,1600,0
Canada,1998,Flood,3,3100,0
Canada,1998,Storm,28,2000,1500000
Canada,1998,Wildfire,0,8000,0
Canada,1999,Storm,7,4200,100
Canada,1999,Wildfire,0,1500,0
Canada,2000,Storm,11,840,13000
Canada,2001,Storm,11,30,0
Canada,2001,Wildfire,0,1200,0
Canada,2002,Flood,0,0,0
Canada,2002,Wildfire,0,600,0
Canada,2003,Flood,4,2470,35000
Canada,2003,Storm,2,200,110000
Canada,2003,Wildfire,1,0,545000
Canada,2004,Flood,0,1000,200000
Canada,2004,Storm,0,0,100000
Canada,2005,Flood,4,5600,357000
Canada,2005,Storm,0,300,0
Canada,2005,Wildfire,0,0,0
Canada,2006,Flood,1,3900,0
Canada,2007,Flood,0,500,0
Canada,2007,Storm,6,0,0
Canada,2008,Flood,0,2400,0
Canada,2009,Flood,0,200,0
Canada,2009,Storm,2,3,500000
Canada,2011,Flood,5,2000,800000
Canada,2011,Storm,1,0,0
Canada,2011,Wildfire,1,7000,1500000
Canada,2012,Flood,0,1500,34000
Canada,2012,Storm,0,0,1050000
Canada,2013,Extreme temperature,10,0,200000
Canada,2013,Flood,4,100000,5700000
Canada,2013,Storm,0,0,1410000
Canada,2014,Extreme temperature,0,0,0
Canada,2014,Flood,0,6904,129000
Canada,2015,Wildfire,0,13036,0
Canada,2016,Flood,0,300,0
Canada,2016,Wildfire,0,88000,4000000
Canada,2017,Flood,2,19113,200000
Canada,2017,Wildfire,0,43441,0
Canada,2018,Extreme temperature,70,0,0
Canada,2018,Flood,0,4000,0
Canada,2018,Storm,0,930,325000
Canada,2018,Wildfire,0,3000,0
Canada,2019,Flood,1,19500,800000
Canada,2019,Storm,1,0,275000
Canada,2020,Flood,1,12936,1300000
Canada,2020,Storm,0,60000,1200000
Canada,2021,Extreme temperature,815,0,0
Canada,2021,Flood,4,15000,2000000
Canada,2021,Storm,1,302,25000
Canada,2021,Wildfire,2,250,80912
Canada,2022,Flood,0,2000,36000
Canada,2022,Storm,17,4000,179000
Canada,2023,Extreme temperature,2,0,165000
Canada,2023,Flood,6,1450,0
Canada,2023,Wildfire,2,30000,200000
Canada,2024,Storm,2,20,7950000
Canada,2024,Wildfire,1,3500,1000000
Cayman Islands,2001,Storm,0,0,60000
Cayman Islands,2002,Storm,0,300,1500
Cayman Islands,2004,Storm,2,0,3435080
Cayman Islands,2008,Storm,0,0,0
Chile,1990,Flood,0,2500,0
Chile,1991,Drought,0,0,200000
Chile,1992,Storm,0,38000,0
Chile,1992,Wildfire,0,0,120000
Chile,1993,Flood,109,3276,34000
Chile,1993,Wildfire,0,0,0
Chile,1995,Extreme temperature,2,10000,10000
Chile,1995,Flood,28,0,0
Chile,1997,Flood,22,76800,182400
Chile,1997,Storm,4,2250,0
Chile,1997,Wildfire,10,300,0
Chile,1999,Wildfire,0,1000,280000
Chile,2000,Extreme temperature,0,0,10000
Chile,2000,Flood,16,181667,30000
Chile,2001,Flood,0,12559,8900
Chile,2001,Storm,2,2400,0
Chile,2002,Extreme temperature,0,25000,0
Chile,2002,Flood,19,230642,200000
Chile,2002,Wildfire,0,0,80000
Chile,2003,Wildfire,0,285,0
Chile,2004,Extreme temperature,0,0,0
Chile,2004,Flood,3,9000,0
Chile,2005,Flood,5,1348,0
Chile,2005,Storm,45,112,0
Chile,2006,Flood,18,95862,0
Chile,2007,Extreme temperature,6,0,0
Chile,2008,Flood,9,144755,23000
Chile,2010,Extreme temperature,0,150,0
Chile,2011,Extreme temperature,0,25475,0
Chile,2011,Wildfire,1,1482,200000
Chile,2012,Flood,0,4300,3100
Chile,2012,Wildfire,7,1082,200000
Chile,2013,Extreme temperature,0,0,1000000
Chile,2014,Flood,0,12555,0
Chile,2014,Wildfire,12,13000,34000
Chile,2015,Flood,178,193997,1500000
Chile,2015,Storm,6,938,0
Chile,2015,Wildfire,1,32,0
Chile,2016,Flood,12,100,100000
Chile,2017,Flood,9,7224,2000
Chile,2017,Wildfire,11,19608,550000
Chile,2019,Flood,6,600,0
Chile,2019,Wildfire,0,747,0
Chile,2021,Flood,0,610,0
Chile,2021,Storm,0,521,175000
Chile,2022,Wildfire,3,13051,0
Chile,2023,Flood,7,53673,1865000
Chile,2023,Wildfire,26,10916,900000
Chile,2024,Flood,1,6393,540000
Chile,2024,Storm,1,26820,540000
Chile,2024,Wildfire,135,40904,1000000
Chile,2025,Wildfire,0,500,0
Colombia,1990,Flood,10,20625,0
Colombia,1991,Wildfire,0,0,0
Colombia,1993,Flood,63,80283,0
Colombia,1994,Flood,37,17969,0
Colombia,1995,Flood,69,86000,0
Colombia,1996,Flood,12,180200,0
Colombia,1997,Flood,2,15000,3000
Colombia,1998,Drought,0,100000,0
Colombia,1999,Flood,41,151390,3
Colombia,1999,Storm,2,0,500
Colombia,2000,Flood,113,79000,0
Colombia,2001,Flood,0,6000,0
Colombia,2001,Storm,5,7700,0
Colombia,2001,Wildfire,0,0,0
Colombia,2002,Flood,65,124538,0
Colombia,2003,Flood,80,39752,0
Colombia,2004,Flood,115,531482,0
Colombia,2005,Flood,180,601866,10000
Colombia,2005,Storm,0,3074,0
Colombia,2006,Flood,150,221465,0
Colombia,2007,Flood,218,2671487,0
Colombia,2008,Flood,87,1200091,0
Colombia,2009,Flood,23,31250,0
Colombia,2010,Flood,418,2796560,1000000
Colombia,2010,Wildfire,31,200,0
Colombia,2011,Flood,273,1487523,2320000
Colombia,2012,Flood,77,81518,102000
Colombia,2013,Flood,7,51781,2000
Colombia,2014,Flood,77,72214,8000
Colombia,2014,Storm,11,18,0
Colombia,2015,Drought,0,0,0
Colombia,2015,Flood,0,8105,0
Colombia,2015,Wildfire,11,119000,0
Colombia,2016,Flood,10,2272,0
Colombia,2017,Flood,35,30853,2000
Colombia,2017,Storm,0,0,0
Colombia,2018,Flood,26,60000,0
Colombia,2019,Flood,52,39897,0
Colombia,2020,Flood,25,56617,35000
Colombia,2020,Storm,23,277800,125000
Colombia,2021,Flood,22,50457,0
Colombia,2022,Flood,81,231810,11000
Colombia,2022,Storm,0,5002,0
Colombia,2023,Flood,1,45588,0
Colombia,2024,Drought,0,1143043,0
Colombia,2024,Storm,1,262059,150000
Colombia,2025,Storm,2,20000,0
Costa Rica,1991,Flood,1,185021,0
Costa Rica,1992,Wildfire,0,1200,0
Costa Rica,1993,Flood,9,38451,0
Costa Rica,1994,Drought,0,0,1000
Costa Rica,1994,Flood,2,2556,3000
Costa Rica,1995,Storm,0,8062,6300
Costa Rica,1996,Flood,6,20000,250000
Costa Rica,1996,Storm,54,716000,200000
Costa Rica,1998,Drought,0,0,23000
Costa Rica,1998,Storm,8,16700,91090
Costa Rica,1999,Flood,9,9993,1000
Costa Rica,2001,Flood,0,1437,0
Costa Rica,2002,Flood,10,95040,1000
Costa Rica,2003,Flood,1,2500,0
Costa Rica,2004,Flood,2,3056,0
Costa Rica,2005,Flood,5,2998,25000
Costa Rica,2005,Storm,1,1074,20000
Costa Rica,2007,Flood,19,24500,80000
Costa Rica,2008,Flood,7,154498,22000
Costa Rica,2008,Storm,4,55000,0
Costa Rica,2010,Flood,27,3106,0
Costa Rica,2011,Flood,4,46695,0
Costa Rica,2012,Flood,6,9523,0
Costa Rica,2015,Drought,0,0,0
Costa Rica,2015,Flood,0,9666,0
Costa Rica,2016,Storm,9,50000,0
Costa Rica,2017,Storm,13,11500,185000
Costa Rica,2018,Flood,1,125190,0
Costa Rica,2019,Drought,0,0,0
Costa Rica,2020,Storm,0,25000,0
Costa Rica,2021,Flood,3,200000,0
Costa Rica,2022,Storm,0,300000,0
Costa Rica,2024,Flood,0,1098668,0
Costa Rica,2024,Storm,0,3418,980
Croatia,1997,Wildfire,0,0,0
Croatia,2000,Extreme temperature,40,200,240000
Croatia,2000,Flood,0,600,0
Croatia,2000,Wildfire,1,0,17750
Croatia,2001,Flood,0,1200,0
Croatia,2003,Drought,0,0,330000
Croatia,2003,Extreme temperature,788,0,0
Croatia,2003,Wildfire,0,0,20000
Croatia,2005,Extreme temperature,5,0,0
Croatia,2005,Flood,0,250,0
Croatia,2005,Storm,2,0,0
Croatia,2006,Flood,0,0,0
Croatia,2007,Wildfire,12,26,0
Croatia,2010,Flood,0,1110,80000
Croatia,2012,Extreme temperature,7,0,0
Croatia,2012,Flood,0,1500,0
Croatia,2014,Flood,3,9116,0
Croatia,2015,Flood,0,1200,0
Croatia,2017,Storm,0,3500,161000
Croatia,2017,Wildfire,0,80,0
Croatia,2018,Flood,0,471,0
Croatia,2019,Flood,1,65,0
Croatia,2022,Extreme temperature,731,0,0
Croatia,2022,Flood,0,0,0
Croatia,2023,Extreme temperature,561,0,0
Croatia,2023,Flood,0,177,0
Croatia,2023,Storm,1,6100,0
Croatia,2025,Flood,0,0,0
Cuba,1990,Flood,4,11000,0
Cuba,1992,Flood,0,9127,2590
Cuba,1993,Flood,46,572000,140000
Cuba,1993,Storm,5,149775,1000000
Cuba,1994,Flood,12,38600,0
Cuba,1994,Storm,2,110558,101968
Cuba,1995,Flood,0,33180,0
Cuba,1995,Storm,2,163,2000
Cuba,1996,Flood,3,10866,0
Cuba,1996,Storm,0,336676,13000
Cuba,1997,Flood,0,35000,0
Cuba,1998,Drought,0,820000,180000
Cuba,1998,Storm,6,147000,2000000
Cuba,1999,Storm,4,254990,0
Cuba,1999,Wildfire,0,0,0
Cuba,2000,Drought,0,0,0
Cuba,2000,Flood,2,675,0
Cuba,2001,Storm,5,5900012,100000
Cuba,2002,Flood,0,35000,0
Cuba,2002,Storm,3,323970,46000
Cuba,2003,Flood,0,600,0
Cuba,2004,Drought,0,0,3139
Cuba,2004,Storm,4,247250,1200000
Cuba,2005,Storm,20,2600000,2100000
Cuba,2006,Flood,2,1500,0
Cuba,2006,Storm,0,268,0
Cuba,2007,Flood,0,18000,0
Cuba,2007,Storm,1,192488,500000
Cuba,2008,Flood,0,20000,0
Cuba,2008,Storm,7,499464,3572000
Cuba,2012,Flood,2,3000,0
Cuba,2012,Storm,12,208101,0
Cuba,2013,Flood,2,227,0
Cuba,2015,Drought,0,100000,0
Cuba,2015,Flood,3,10089,0
Cuba,2016,Storm,0,190000,2600000
Cuba,2017,Storm,10,10000000,540000
Cuba,2018,Storm,9,40540,0
Cuba,2019,Storm,6,10111,0
