GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
2.  Industrial processes and product use,222659.615243882,15.115769888,84.41117480491513,96080.8089143708,15218.870264718877,4856.552819,0.88158741842452,Summary1.As1,USA,1999,Sector
1. Energy,5782868.658563286,13025.359320106712,283.80163954234524,,,,,Summary1.As1,USA,2000,Sector
2.  Industrial processes and product use,219685.20698658735,13.373234752,85.27597080786367,101050.225985654,14366.13326919386,4739.877449999999,0.76569494932637,Summary1.As1,USA,2000,Sector
1. Energy,5701593.809435992,13032.760265110575,275.14000157019217,,,,,Summary1.As1,USA,2001,Sector
2.  Industrial processes and product use,198254.4758966624,9.421200592,73.47086066380812,98171.78494364752,7460.350943015492,4756.5691548,0.73512056651977,Summary1.As1,USA,2001,Sector
1. Energy,5739845.448879018,12709.620850102448,273.1737945027339,,,,,Summary1.As1,USA,2002,Sector
2.  Industrial processes and product use,197856.79470548625,9.667223136,76.9410727648828,103783.53003401156,9261.400691481154,5410.6946954000005,0.70185438824619,Summary1.As1,USA,2002,Sector
1. Energy,5809080.979722336,12715.332493477435,270.8373734474082,,,,,Summary1.As1,USA,2003,Sector
2.  Industrial processes and product use,192793.73840418283,9.501808528,76.25376374862806,98122.90910658037,7400.022377676924,6173.7319126,0.70777639695981,Summary1.As1,USA,2003,Sector
1. Energy,5904591.331043248,12842.112325475093,267.66378285463827,,,,,Summary1.As1,USA,2004,Sector
2.  Industrial processes and product use,200581.5980261835,8.14841984,70.57779843281943,106706.34673404836,6183.119520807,6638.269902999999,0.66868171463398,Summary1.As1,USA,2004,Sector
1. Energy,5928911.40699755,12667.76714758989,256.30292442783747,,,,,Summary1.As1,USA,2005,Sector
2.  Industrial processes and product use,195416.21329652963,4.422839664,83.70661660783716,109261.34723954072,6067.989176389083,7089.2773304,0.65934121473171,Summary1.As1,USA,2005,Sector
1. Energy,5844597.404028296,13045.397495803229,256.5585445162443,,,,,Summary1.As1,USA,2006,Sector
2.  Industrial processes and product use,200213.69067430243,3.286788832,87.62218885434174,113206.2955232945,5905.479596573232,7447.574559799999,0.62323642622084,Summary1.As1,USA,2006,Sector
1. Energy,5919385.778158273,12967.777667955806,246.98032167876883,,,,,Summary1.As1,USA,2007,Sector
2.  Industrial processes and product use,202515.47706099064,3.422331104,101.03102786009826,123357.34635060468,7223.821342757177,7887.283301599999,0.57102284678159,Summary1.As1,USA,2007,Sector
1. Energy,5719020.625354817,13622.699334653253,235.80643456065175,,,,,Summary1.As1,USA,2008,Sector
2.  Industrial processes and product use,187460.2049738178,3.232260128,68.15619426922346,127381.18166398688,5761.677498844381,8295.7765546,0.53763247555345,Summary1.As1,USA,2008,Sector
1. Energy,5328365.300246783,13319.830119956348,221.40608059511592,,,,,Summary1.As1,USA,2009,Sector
2.  Industrial processes and product use,145136.14387099858,3.040007416,63.23453975610171,127279.68286788132,3881.469541572834,8893.0453894,0.44691889425564,Summary1.As1,USA,2009,Sector
1. Energy,5498170.65853916,13353.519325000563,226.42119453696836,,,,,Summary1.As1,USA,2010,Sector
2.  Industrial processes and product use,172983.04783870908,3.115593936,75.10773104909796,135113.78617342946,4316.778539689997,9557.3961246,0.40855479698006,Summary1.As1,USA,2010,Sector
1. Energy,5361209.712166236,13028.0270614185,217.8733397894955,,,,,Summary1.As1,USA,2011,Sector
2.  Industrial processes and product use,176936.01599892386,3.09656440425688,93.33437440229476,138183.62246821885,6651.192187271118,10226.3752554,0.40932576121725,Summary1.As1,USA,2011,Sector
1. Energy,5159435.334714396,12544.996695911988,201.61572355254893,,,,,Summary1.As1,USA,2012,Sector
2.  Industrial processes and product use,174399.12155845817,3.84152741622018,75.45799968948529,137205.38512344268,5819.580349248055,10889.244312399998,0.35262547954547,Summary1.As1,USA,2012,Sector
1. Energy,5296535.388270435,12991.274848530107,202.9557068891416,,,,,Summary1.As1,USA,2013,Sector
2.  Industrial processes and product use,175270.7125234261,4.31946289306422,70.87362377637764,137522.77899470416,5563.992312017321,11558.7495006,0.33730050867001,Summary1.As1,USA,2013,Sector
1. Energy,5340018.475983656,12929.418360721029,196.50744622799573,,,,,Summary1.As1,USA,2014,Sector
2.  Industrial processes and product use,180564.81543494595,6.38168223574312,76.63754262457921,141872.59055387747,5235.703026800921,12179.584698,0.33370705988589,Summary1.As1,USA,2014,Sector
1. Energy,5194356.095139704,12653.830865746077,181.67548966947297,,,,,Summary1.As1,USA,2015,Sector
2.  Industrial processes and product use,173692.96639548492,8.53777760484404,74.34962910734494,144455.4912633941,4739.792140815493,13442.7281632,0.30245357181126,Summary1.As1,USA,2015,Sector
1. Energy,5079316.670439632,11600.848512130571,175.98734887105397,,,,,Summary1.As1,USA,2016,Sector
2.  Industrial processes and product use,165880.25489215925,11.15174128278899,78.58432301901024,144033.20841696858,4006.9152571751392,14410.6934352,0.32224928363928,Summary1.As1,USA,2016,Sector
1. Energy,5038003.295488304,12018.384108590824,166.87593529375292,,,,,Summary1.As1,USA,2017,Sector
2.  Industrial processes and product use,166227.80860689312,11.31806494047706,76.30237214712129,145330.4845774934,3762.1104309364887,15467.11260974,0.30761342480554,Summary1.As1,USA,2017,Sector
1. Energy,5204695.5716391485,12203.53290144194,162.50110137888385,,,,,Summary1.As1,USA,2018,Sector
2.  Industrial processes and product use,165923.60005258647,13.48567690436697,87.10451605777351,144940.17556518977,4252.544444619805,15950.98730858,0.30215018797998,Summary1.As1,USA,2018,Sector
1. Energy,5084935.459932133,11933.35922222493,156.8638816679486,,,,,Summary1.As1,USA,2019,Sector
2.  Industrial processes and product use,169976.01129533313,14.51711617555963,70.71874510334304,149355.4264579051,3985.614448975979,16069.89597065,0.33001553822501,Summary1.As1,USA,2019,Sector
1. Energy,4544784.417933706,11144.17001463027,140.221834857652,,,,,Summary1.As1,USA,2020,Sector
2.  Industrial processes and product use,161806.60741835344,13.16679717979491,78.6306731528941,152279.99875610234,3903.9699236235065,15921.01515958,0.31949728979102,Summary1.As1,USA,2020,Sector
1. Energy,4855039.589645948,10798.09814508418,147.91315300363496,,,,,Summary1.As1,USA,2021,Sector
2.  Industrial processes and product use,168912.98292723956,15.75762231136787,74.47946915746822,158774.99211566665,3541.2980977850507,16320.38702338,0.34121606520066,Summary1.As1,USA,2021,Sector
3.  Agriculture,7106.295165109028,8587.15334003732,1133.9719637929634,,,,,Summary1.As2,USA,1990,Sector
"4.  Land use, land-use change and forestry  (4)",-938855.5567803524,1910.935467928844,16.58470432145623,,,,,Summary1.As2,USA,1990,Sector
5.  Waste,,7889.251113054675,56.84310211628047,,,,,Summary1.As2,USA,1990,Sector
3.  Agriculture,7322.246882578886,8670.419728854109,1096.7997055870767,,,,,Summary1.As2,USA,1991,Sector
"4.  Land use, land-use change and forestry  (4)",-944418.0770022784,1892.7092915022597,15.99290275450719,,,,,Summary1.As2,USA,1991,Sector
5.  Waste,,7995.951106312807,58.2146430498565,,,,,Summary1.As2,USA,1991,Sector
3.  Agriculture,6884.181844576136,8807.015173402691,1095.3509878844875,,,,,Summary1.As2,USA,1992,Sector
"4.  Land use, land-use change and forestry  (4)",-936825.6282498774,1829.4491680385136,11.61072644074858,,,,,Summary1.As2,USA,1992,Sector
5.  Waste,,8001.878639210114,59.78684116466247,,,,,Summary1.As2,USA,1992,Sector
3.  Agriculture,6437.976362999504,9009.625936568696,1143.490033453343,,,,,Summary1.As2,USA,1993,Sector
"4.  Land use, land-use change and forestry  (4)",-917630.4610854824,1830.22353116864,12.47507649160834,,,,,Summary1.As2,USA,1993,Sector
5.  Waste,,7927.767522981101,60.88761628593542,,,,,Summary1.As2,USA,1993,Sector
3.  Agriculture,6819.747632026959,9182.828381315398,1140.4474871968357,,,,,Summary1.As2,USA,1994,Sector
"4.  Land use, land-use change and forestry  (4)",-931831.4700585168,1913.8500467051813,17.59795990651303,,,,,Summary1.As2,USA,1994,Sector
5.  Waste,,7931.271076170789,62.9951817140439,,,,,Summary1.As2,USA,1994,Sector
3.  Agriculture,7049.017306362229,9417.406851315454,1137.6506998563548,,,,,Summary1.As2,USA,1995,Sector
"4.  Land use, land-use change and forestry  (4)",-902814.2518926793,1815.9913876569383,11.89076703139449,,,,,Summary1.As2,USA,1995,Sector
5.  Waste,,7741.224544014912,63.55514051313837,,,,,Summary1.As2,USA,1995,Sector
3.  Agriculture,6946.017746116817,9356.719239487516,1164.5538629237572,,,,,Summary1.As2,USA,1996,Sector
"4.  Land use, land-use change and forestry  (4)",-923453.9963162238,1879.439984718717,16.88832955367649,,,,,Summary1.As2,USA,1996,Sector
5.  Waste,,7604.575240148332,65.00776792444336,,,,,Summary1.As2,USA,1996,Sector
3.  Agriculture,6980.123752632745,9238.88411710208,1136.2242578612734,,,,,Summary1.As2,USA,1997,Sector
"4.  Land use, land-use change and forestry  (4)",-903399.606406374,1804.295628936604,11.42094628134747,,,,,Summary1.As2,USA,1997,Sector
5.  Waste,,7237.040137308586,65.59185188866599,,,,,Summary1.As2,USA,1997,Sector
3.  Agriculture,7725.949029264055,9365.30457858399,1151.104092227455,,,,,Summary1.As2,USA,1998,Sector
"4.  Land use, land-use change and forestry  (4)",-904835.0498073034,1836.8599479228203,12.67132087601779,,,,,Summary1.As2,USA,1998,Sector
5.  Waste,,6862.892650141358,67.37047321281752,,,,,Summary1.As2,USA,1998,Sector
3.  Agriculture,7509.179718878593,9397.88495392671,1136.1318703770933,,,,,Summary1.As2,USA,1999,Sector
"4.  Land use, land-use change and forestry  (4)",-900533.1564623965,1933.324132086701,20.43602742333663,,,,,Summary1.As2,USA,1999,Sector
5.  Waste,,6609.766987196945,69.8105222481732,,,,,Summary1.As2,USA,1999,Sector
3.  Agriculture,7582.062374097632,9389.458857344862,1111.3585040546936,,,,,Summary1.As2,USA,2000,Sector
"4.  Land use, land-use change and forestry  (4)",-902011.635039379,2080.1136807122743,30.11420596995806,,,,,Summary1.As2,USA,2000,Sector
5.  Waste,,6483.454738210252,71.13988622001033,,,,,Summary1.As2,USA,2000,Sector
3.  Agriculture,7891.650051032436,9265.821905467788,1153.9106611856048,,,,,Summary1.As2,USA,2001,Sector
"4.  Land use, land-use change and forestry  (4)",-899937.5499297733,1882.538649022118,17.57022114832628,,,,,Summary1.As2,USA,2001,Sector
5.  Waste,,6302.103214106278,70.43072749941861,,,,,Summary1.As2,USA,2001,Sector
3.  Agriculture,8605.900967369718,9402.487357095364,1152.319663045695,,,,,Summary1.As2,USA,2002,Sector
"4.  Land use, land-use change and forestry  (4)",-867119.3419318589,2176.565836697753,36.08480515052431,,,,,Summary1.As2,USA,2002,Sector
5.  Waste,,6251.454646849435,71.38599196070783,,,,,Summary1.As2,USA,2002,Sector
3.  Agriculture,8270.744723648537,9301.578038255107,1162.236107198708,,,,,Summary1.As2,USA,2003,Sector
"4.  Land use, land-use change and forestry  (4)",-891402.2567543548,2019.9510920820223,25.28390214036302,,,,,Summary1.As2,USA,2003,Sector
5.  Waste,,6348.10819944544,72.8037149397959,,,,,Summary1.As2,USA,2003,Sector
3.  Agriculture,7481.655118513757,9141.87085442316,1192.1520884793256,,,,,Summary1.As2,USA,2004,Sector
"4.  Land use, land-use change and forestry  (4)",-791286.2470638901,2384.162552726153,56.37762406326843,,,,,Summary1.As2,USA,2004,Sector
5.  Waste,,6251.181492999434,74.03622617248531,,,,,Summary1.As2,USA,2004,Sector
3.  Agriculture,7855.649925026743,9418.76065500768,1155.238419744075,,,,,Summary1.As2,USA,2005,Sector
"4.  Land use, land-use change and forestry  (4)",-853528.5247197498,2190.1284655810096,41.92569921680737,,,,,Summary1.As2,USA,2005,Sector
5.  Waste,,6160.992752895377,73.75748449489247,,,,,Summary1.As2,USA,2005,Sector
3.  Agriculture,7875.120205778893,9397.563543803126,1146.164896915499,,,,,Summary1.As2,USA,2006,Sector
"4.  Land use, land-use change and forestry  (4)",-882594.9927348999,2017.719863421938,28.93958366651187,,,,,Summary1.As2,USA,2006,Sector
5.  Waste,,6073.0008541122015,75.2602835666545,,,,,Summary1.As2,USA,2006,Sector
3.  Agriculture,8221.504301406623,9736.3009595391,1181.8196256848182,,,,,Summary1.As2,USA,2007,Sector
"4.  Land use, land-use change and forestry  (4)",-843124.7574024963,2129.944326099296,35.41763851697207,,,,,Summary1.As2,USA,2007,Sector
5.  Waste,,5988.149729411408,75.77953799147132,,,,,Summary1.As2,USA,2007,Sector
3.  Agriculture,8637.634842196087,9566.136751845816,1168.6271352149718,,,,,Summary1.As2,USA,2008,Sector
"4.  Land use, land-use change and forestry  (4)",-824661.6727527562,1958.0333124566896,24.23515389621573,,,,,Summary1.As2,USA,2008,Sector
5.  Waste,,5903.287597540721,75.316635492433,,,,,Summary1.As2,USA,2008,Sector
3.  Agriculture,7224.287356598683,9570.846958796892,1171.6826830966097,,,,,Summary1.As2,USA,2009,Sector
"4.  Land use, land-use change and forestry  (4)",-787014.0734941516,2066.2852410164737,32.83428027729522,,,,,Summary1.As2,USA,2009,Sector
5.  Waste,,5797.292086474248,74.70831743654102,,,,,Summary1.As2,USA,2009,Sector
3.  Agriculture,8561.542206227585,9681.966706719682,1174.8264966962402,,,,,Summary1.As2,USA,2010,Sector
"4.  Land use, land-use change and forestry  (4)",-807366.6311491346,1864.2151712079883,15.65093711124233,,,,,Summary1.As2,USA,2010,Sector
5.  Waste,,5825.103899384435,75.594080528588,,,,,Summary1.As2,USA,2010,Sector
3.  Agriculture,7970.339155392193,9459.290594193391,1168.0712556971368,,,,,Summary1.As2,USA,2011,Sector
"4.  Land use, land-use change and forestry  (4)",-853780.9181118981,1990.790564543487,25.71351873143151,,,,,Summary1.As2,USA,2011,Sector
5.  Waste,,5495.468081377388,76.43072774171159,,,,,Summary1.As2,USA,2011,Sector
3.  Agriculture,10251.523454928203,9442.545389098248,1124.370072598046,,,,,Summary1.As2,USA,2012,Sector
"4.  Land use, land-use change and forestry  (4)",-849383.2261598583,2034.2510815285848,25.78072827015366,,,,,Summary1.As2,USA,2012,Sector
5.  Waste,,5558.057967799726,79.01570654184746,,,,,Summary1.As2,USA,2012,Sector
3.  Agriculture,8350.435912852923,9258.443789496498,1245.1294241975886,,,,,Summary1.As2,USA,2013,Sector
"4.  Land use, land-use change and forestry  (4)",-813492.2638641787,2043.527154448901,26.61164000138095,,,,,Summary1.As2,USA,2013,Sector
5.  Waste,,5417.380718651659,79.77833766141187,,,,,Summary1.As2,USA,2013,Sector
3.  Agriculture,8097.775757684733,9230.615574845522,1269.6346222261354,,,,,Summary1.As2,USA,2014,Sector
"4.  Land use, land-use change and forestry  (4)",-826850.0049293373,1901.2645111394736,18.02970745499074,,,,,Summary1.As2,USA,2014,Sector
5.  Waste,,5406.782330598719,80.5466853900602,,,,,Summary1.As2,USA,2014,Sector
3.  Agriculture,8424.063143756575,9519.968518845824,1245.13672068114,,,,,Summary1.As2,USA,2015,Sector
"4.  Land use, land-use change and forestry  (4)",-752236.4815532612,2393.0158957733165,50.44723464425201,,,,,Summary1.As2,USA,2015,Sector
5.  Waste,,5365.01144771344,81.04144575244473,,,,,Summary1.As2,USA,2015,Sector
3.  Agriculture,7735.24975477518,9786.713678851303,1207.512436867831,,,,,Summary1.As2,USA,2016,Sector
"4.  Land use, land-use change and forestry  (4)",-874241.4213914443,1924.483916552194,18.93626869877112,,,,,Summary1.As2,USA,2016,Sector
5.  Waste,,5223.876618286332,83.2339298004169,,,,,Summary1.As2,USA,2016,Sector
3.  Agriculture,7931.241386092913,9910.70661987857,1236.473891996232,,,,,Summary1.As2,USA,2017,Sector
"4.  Land use, land-use change and forestry  (4)",-842515.9268282094,2145.2324797747856,31.14494056483302,,,,,Summary1.As2,USA,2017,Sector
5.  Waste,,5297.374729872877,85.20285716159377,,,,,Summary1.As2,USA,2017,Sector
3.  Agriculture,7178.18143410301,10043.13460618128,1287.2002457832475,,,,,Summary1.As2,USA,2018,Sector
"4.  Land use, land-use change and forestry  (4)",-829500.8538484635,2048.1443494464397,26.50208177459821,,,,,Summary1.As2,USA,2018,Sector
5.  Waste,,5384.128082150293,86.60198158137862,,,,,Summary1.As2,USA,2018,Sector
3.  Agriculture,7233.603088977679,10013.306469471116,1233.4185905869656,,,,,Summary1.As2,USA,2019,Sector
"4.  Land use, land-use change and forestry  (4)",-768224.4982844372,2031.581117118436,27.52882601099595,,,,,Summary1.As2,USA,2019,Sector
5.  Waste,,5459.509957912628,87.27294038300187,,,,,Summary1.As2,USA,2019,Sector
3.  Agriculture,8037.006543266654,10036.353838678382,1163.0550740749495,,,,,Summary1.As2,USA,2020,Sector
"4.  Land use, land-use change and forestry  (4)",-852534.4341216489,2336.2886101953204,41.32082339473731,,,,,Summary1.As2,USA,2020,Sector
5.  Waste,,5315.188637352872,85.65222349013824,,,,,Summary1.As2,USA,2020,Sector
3.  Agriculture,8260.246657854928,9936.62161717291,1175.899658433631,,,,,Summary1.As2,USA,2021,Sector
"4.  Land use, land-use change and forestry  (4)",-832038.9727253598,2356.088031372187,44.69235598854086,,,,,Summary1.As2,USA,2021,Sector
5.  Waste,,5229.6919858017145,85.77949586055749,,,,,Summary1.As2,USA,2021,Sector
International bunkers,103634.20130524364,6.52759940648025,2.8626517125516,,,,,Summary1.As3,USA,1990,Sector
CO2 emissions from biomass,237946.30288722328,,,,,,,Summary1.As3,USA,1990,Sector
International bunkers,117739.79467903076,7.11033669808938,3.25973454747951,,,,,Summary1.As3,USA,1991,Sector
CO2 emissions from biomass,235376.46753439575,,,,,,,Summary1.As3,USA,1991,Sector
International bunkers,108002.28237677117,6.09531846591301,3.01453998646078,,,,,Summary1.As3,USA,1992,Sector
CO2 emissions from biomass,247885.58871093884,,,,,,,Summary1.As3,USA,1992,Sector
International bunkers,97964.64696157696,5.07808141571392,2.76070208272205,,,,,Summary1.As3,USA,1993,Sector
CO2 emissions from biomass,242098.15336440425,,,,,,,Summary1.As3,USA,1993,Sector
International bunkers,96811.96934540237,4.82275830536615,2.74243290849199,,,,,Summary1.As3,USA,1994,Sector
CO2 emissions from biomass,249279.2103424428,,,,,,,Summary1.As3,USA,1994,Sector
International bunkers,98609.4191216438,4.84635425988244,2.79865504244365,,,,,Summary1.As3,USA,1995,Sector
CO2 emissions from biomass,254034.19225042983,,,,,,,Summary1.As3,USA,1995,Sector
International bunkers,99861.28311278408,4.86223341546923,2.83547981542443,,,,,Summary1.As3,USA,1996,Sector
CO2 emissions from biomass,258433.76833143516,,,,,,,Summary1.As3,USA,1996,Sector
International bunkers,107063.37541065952,5.23666156483287,3.01068520019626,,,,,Summary1.As3,USA,1997,Sector
CO2 emissions from biomass,251516.45921052116,,,,,,,Summary1.As3,USA,1997,Sector
International bunkers,110594.39341854776,5.6262724268825,3.09721043179887,,,,,Summary1.As3,USA,1998,Sector
CO2 emissions from biomass,232763.2030352736,,,,,,,Summary1.As3,USA,1998,Sector
International bunkers,102833.7926914605,4.50680644392659,2.91985764912328,,,,,Summary1.As3,USA,1999,Sector
CO2 emissions from biomass,235285.53980802905,,,,,,,Summary1.As3,USA,1999,Sector
International bunkers,101894.69078477766,3.96323140464436,2.96661892044293,,,,,Summary1.As3,USA,2000,Sector
CO2 emissions from biomass,242242.2794999567,,,,,,,Summary1.As3,USA,2000,Sector
International bunkers,93889.92275410828,3.73127671494779,2.72919696197227,,,,,Summary1.As3,USA,2001,Sector
CO2 emissions from biomass,218222.32397205263,,,,,,,Summary1.As3,USA,2001,Sector
International bunkers,94600.08843810418,3.97749182714965,2.73621271243656,,,,,Summary1.As3,USA,2002,Sector
CO2 emissions from biomass,219377.0241492605,,,,,,,Summary1.As3,USA,2002,Sector
International bunkers,98483.81547649976,4.31031471397,2.83877645227973,,,,,Summary1.As3,USA,2003,Sector
CO2 emissions from biomass,224650.8515320197,,,,,,,Summary1.As3,USA,2003,Sector
International bunkers,108609.744407505,5.2075529906911,3.09957251652653,,,,,Summary1.As3,USA,2004,Sector
CO2 emissions from biomass,240190.3245357015,,,,,,,Summary1.As3,USA,2004,Sector
International bunkers,113327.836586543,5.29289301873301,3.24415507999054,,,,,Summary1.As3,USA,2005,Sector
CO2 emissions from biomass,245421.19810489204,,,,,,,Summary1.As3,USA,2005,Sector
International bunkers,114268.53089607206,5.37745416930405,3.27073545602736,,,,,Summary1.As3,USA,2006,Sector
CO2 emissions from biomass,252265.80665331703,,,,,,,Summary1.As3,USA,2006,Sector
International bunkers,115462.80548207478,5.37767778303031,3.30889223697305,,,,,Summary1.As3,USA,2007,Sector
CO2 emissions from biomass,259985.2370387925,,,,,,,Summary1.As3,USA,2007,Sector
International bunkers,114457.56798460949,5.81280305959461,3.25051213735364,,,,,Summary1.As3,USA,2008,Sector
CO2 emissions from biomass,272921.54370426864,,,,,,,Summary1.As3,USA,2008,Sector
International bunkers,106510.65999327002,5.35773769025332,3.02873239375047,,,,,Summary1.As3,USA,2009,Sector
CO2 emissions from biomass,269129.77639069577,,,,,,,Summary1.As3,USA,2009,Sector
International bunkers,117101.05204558026,5.59307945821358,3.34716138941129,,,,,Summary1.As3,USA,2010,Sector
CO2 emissions from biomass,305688.33174190583,,,,,,,Summary1.As3,USA,2010,Sector
International bunkers,111745.72772726716,4.67883523287745,3.23588735115518,,,,,Summary1.As3,USA,2011,Sector
CO2 emissions from biomass,312743.2413535449,,,,,,,Summary1.As3,USA,2011,Sector
International bunkers,105888.68046209843,4.12080084281566,3.08607835489296,,,,,Summary1.As3,USA,2012,Sector
CO2 emissions from biomass,305845.78829941904,,,,,,,Summary1.As3,USA,2012,Sector
International bunkers,99840.32268678512,3.4035279512037,2.93797367111437,,,,,Summary1.As3,USA,2013,Sector
CO2 emissions from biomass,331654.89535870147,,,,,,,Summary1.As3,USA,2013,Sector
International bunkers,103488.017486782,3.37116010330534,3.05494471839669,,,,,Summary1.As3,USA,2014,Sector
CO2 emissions from biomass,339106.1470152,,,,,,,Summary1.As3,USA,2014,Sector
International bunkers,110979.96580958027,3.88266970884285,3.26148519106159,,,,,Summary1.As3,USA,2015,Sector
CO2 emissions from biomass,333472.032983974,,,,,,,Summary1.As3,USA,2015,Sector
International bunkers,116682.14816630485,4.24126158851624,3.41667013774949,,,,,Summary1.As3,USA,2016,Sector
CO2 emissions from biomass,332673.1789114521,,,,,,,Summary1.As3,USA,2016,Sector
International bunkers,120191.65846922268,4.2283555666192,3.5292571073587,,,,,Summary1.As3,USA,2017,Sector
CO2 emissions from biomass,328888.16103454056,,,,,,,Summary1.As3,USA,2017,Sector
International bunkers,124278.73681003346,4.1149219991051,3.59712199603429,,,,,Summary1.As3,USA,2018,Sector
CO2 emissions from biomass,335973.31747371383,,,,,,,Summary1.As3,USA,2018,Sector
International bunkers,113631.53979232856,3.5161151673422,3.36581947905693,,,,,Summary1.As3,USA,2019,Sector
CO2 emissions from biomass,333058.91100971686,,,,,,,Summary1.As3,USA,2019,Sector
International bunkers,69638.42188314004,2.97143203615258,2.00807594324615,,,,,Summary1.As3,USA,2020,Sector
CO2 emissions from biomass,305562.18335494923,,,,,,,Summary1.As3,USA,2020,Sector
International bunkers,80180.3479484682,2.92342366168104,2.3467896653392,,,,,Summary1.As3,USA,2021,Sector
CO2 emissions from biomass,315353.4137319446,,,,,,,Summary1.As3,USA,2021,Sector
