GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),SF6 (kt),PFCs(1)
B.  Chemical industry,117.1723,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,16220.11,0.5153,,Summary1.As1,KAZAKHSTAN,2004,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,0.354,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,2.  Industrial processes and product use,587.9990230154365,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2004,Subsector,2.  Industrial processes and product use,,3.192e-07,
A. Fuel combustion     Reference approach(2),166473.46753532015,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
                                           Sectoral approach(2),168396.6809139405,26.27194035585359,2.91354372029309,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
1.  Energy industries,91882.03,1.5185138,1.1526327,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,28368.338,2.071788,0.374746,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
3.  Transport,16474.223827070517,4.62367422919459,0.94632881255709,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
4.  Other sectors,10824.49808687,15.364164326659,0.223836207736,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
5.  Other,20847.591,2.6938,0.216,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,11448.809842226254,1646.9552019328476,0.08892380056028,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
1.  Solid fuels,1486.262616416391,327.3038940499,0.02027752485,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,9962.547225809863,1319.6513078829475,0.06864627571028,Summary1.As1,KAZAKHSTAN,2005,Subsector,1. Energy,,,
B.  Chemical industry,54.9487,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,15682.134,0.4858,,Summary1.As1,KAZAKHSTAN,2005,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,0.295,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,2.  Industrial processes and product use,643.6403828884838,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2005,Subsector,2.  Industrial processes and product use,,7.2524e-05,
A. Fuel combustion     Reference approach(2),202263.5698695042,,,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
                                           Sectoral approach(2),186857.5195549472,26.98803851453755,3.33213220508685,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
1.  Energy industries,99039.612,1.500661,1.2280677,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,29073.391,2.2924218,0.3970752,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
3.  Transport,18554.468639837178,5.27657920548755,1.24495325342485,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
4.  Other sectors,14139.77491511,14.59177650905,0.234536051662,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
5.  Other,26050.273,3.3266,0.2275,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,12196.842905192703,1609.9503662390894,0.09472943600643,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
1.  Solid fuels,1649.3461704422489,351.5084738384,0.0225273576,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,10547.496734750452,1258.4418924006893,0.07220207840643,Summary1.As1,KAZAKHSTAN,2006,Subsector,1. Energy,,,
B.  Chemical industry,101.8952,,0.0724,Summary1.As1,KAZAKHSTAN,2006,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,16075.4886,0.4681,,Summary1.As1,KAZAKHSTAN,2006,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,0.236,,,Summary1.As1,KAZAKHSTAN,2006,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2006,Subsector,2.  Industrial processes and product use,889.5305189840897,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2006,Subsector,2.  Industrial processes and product use,,7.4011e-05,
A. Fuel combustion     Reference approach(2),205067.57401218015,,,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
                                           Sectoral approach(2),192076.53363365337,29.93821450285727,3.67696034124326,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
1.  Energy industries,94452.97,1.400689,1.208071,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,31233.8376,2.6799111,0.44877553,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
3.  Transport,21212.107138753363,6.19903672360727,1.43494468831826,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
4.  Other sectors,18430.1618949,16.46077767925,0.297769122925,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
5.  Other,26747.457,3.1978,0.2874,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,12391.150497927558,1427.554505991995,0.09775543434821,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
1.  Solid fuels,1717.952772274813,364.1238642036,0.0234721554,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,10673.197725652746,1063.430641788395,0.07428327894821,Summary1.As1,KAZAKHSTAN,2007,Subsector,1. Energy,,,
B.  Chemical industry,296.0778,,0.4038,Summary1.As1,KAZAKHSTAN,2007,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,17126.297,0.4959,,Summary1.As1,KAZAKHSTAN,2007,Subsector,2.  Industrial processes and product use,,,29.7897
D.  Non-energy products from fuels and solvent use ,0.284,,,Summary1.As1,KAZAKHSTAN,2007,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2007,Subsector,2.  Industrial processes and product use,946.838495246044,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2007,Subsector,2.  Industrial processes and product use,,7.4347e-05,
A. Fuel combustion     Reference approach(2),215263.77767666956,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
                                           Sectoral approach(2),193456.3705868098,32.94495424115422,3.59268136278098,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
1.  Energy industries,89336.288,1.376571,1.14923256,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,28713.484,2.4469249,0.41940578,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
3.  Transport,22170.558575209798,6.25627419960322,1.36328831512198,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
4.  Other sectors,14789.3520116,18.460884141551,0.271654707659,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
5.  Other,38446.688,4.4043,0.3891,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,13156.667885846546,1287.2423102383873,0.10477348046168,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
1.  Solid fuels,1952.0933507818063,360.11874512273005,0.026695684095,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,11204.57453506474,927.1235651156574,0.07807779636668,Summary1.As1,KAZAKHSTAN,2008,Subsector,1. Energy,,,
B.  Chemical industry,305.6599,,0.39497,Summary1.As1,KAZAKHSTAN,2008,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14504.344,0.3917,,Summary1.As1,KAZAKHSTAN,2008,Subsector,2.  Industrial processes and product use,,,448.50552
D.  Non-energy products from fuels and solvent use ,0.192,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,2.  Industrial processes and product use,1019.573977135523,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2008,Subsector,2.  Industrial processes and product use,,7.5234e-05,
A. Fuel combustion     Reference approach(2),193253.4208359335,,,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
                                           Sectoral approach(2),190926.6960988005,31.91188090491506,3.66894093413459,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
1.  Energy industries,95661.214,1.341098,1.232165,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,28183.108,2.44764,0.416222,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
3.  Transport,21660.2048823705,6.17708829146506,1.40173608434659,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
4.  Other sectors,13068.09521643,18.43705461345,0.270217849788,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
5.  Other,32354.074,3.509,0.3486,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,13831.196606789168,1145.6284342942386,0.10897679865968,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
1.  Solid fuels,1743.0753321763775,343.41774690380004,0.0238231557,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,12088.121274612791,802.2106873904386,0.08515364295968,Summary1.As1,KAZAKHSTAN,2009,Subsector,1. Energy,,,
B.  Chemical industry,228.9262,,0.2898,Summary1.As1,KAZAKHSTAN,2009,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14930.714,0.4235,,Summary1.As1,KAZAKHSTAN,2009,Subsector,2.  Industrial processes and product use,,,348.18343
D.  Non-energy products from fuels and solvent use ,117.75,,,Summary1.As1,KAZAKHSTAN,2009,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2009,Subsector,2.  Industrial processes and product use,1068.8977082153804,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2009,Subsector,2.  Industrial processes and product use,,7.6089e-05,
A. Fuel combustion     Reference approach(2),220182.76301046688,,,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
                                           Sectoral approach(2),215850.7428371194,35.54569680222169,3.99975052098889,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
1.  Energy industries,103322.948,1.462741,1.320563,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,28519.966,2.49568,0.419886,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
3.  Transport,21075.902580959417,6.32182145163569,1.49034705191189,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
4.  Other sectors,14666.37325616,19.722854350586,0.283354469077,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
5.  Other,48265.553,5.5426,0.4856,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,14561.432086866223,1011.7281143781062,0.11659354425698,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
1.  Solid fuels,2026.4637325025876,378.76673763986,0.02772875979,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,12534.968354363637,632.9613767382461,0.08886478446698,Summary1.As1,KAZAKHSTAN,2010,Subsector,1. Energy,,,
B.  Chemical industry,264.3312,,0.31714,Summary1.As1,KAZAKHSTAN,2010,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,13865.892,0.37199,,Summary1.As1,KAZAKHSTAN,2010,Subsector,2.  Industrial processes and product use,,,622.50439
D.  Non-energy products from fuels and solvent use ,116.487,,,Summary1.As1,KAZAKHSTAN,2010,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2010,Subsector,2.  Industrial processes and product use,1072.9936927894878,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2010,Subsector,2.  Industrial processes and product use,,7.6089e-05,
A. Fuel combustion     Reference approach(2),222537.46261501356,,,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
                                           Sectoral approach(2),204930.3728106998,42.48017640758815,3.98637625206555,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
1.  Energy industries,104461.062,1.434591,1.3472048,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,29401.146,2.5579706,0.43576308,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
3.  Transport,21696.1618732198,5.98514305866215,1.61630962593855,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
4.  Other sectors,17432.41793748,29.100071748926,0.341798746127,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
5.  Other,31939.585,3.4024,0.2453,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,14731.786245840687,1066.890192402779,0.11822108554553,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
1.  Solid fuels,2115.602294056886,417.40022631236496,0.0289581185475,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,12616.1839517838,649.4899660904138,0.08926296699803,Summary1.As1,KAZAKHSTAN,2011,Subsector,1. Energy,,,
B.  Chemical industry,313.8015,,0.4329,Summary1.As1,KAZAKHSTAN,2011,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14524.479,0.41202,,Summary1.As1,KAZAKHSTAN,2011,Subsector,2.  Industrial processes and product use,,,529.87043
D.  Non-energy products from fuels and solvent use ,132.991,,,Summary1.As1,KAZAKHSTAN,2011,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2011,Subsector,2.  Industrial processes and product use,1144.648974385153,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2011,Subsector,2.  Industrial processes and product use,,7.6728e-05,
A. Fuel combustion     Reference approach(2),223810.32048864596,,,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
                                           Sectoral approach(2),212145.22718269745,37.62124186485036,4.3050120649705,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
1.  Energy industries,110434.331,1.51535,1.416245,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,29374.278,2.507513,0.4310054,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
3.  Transport,24428.51758441745,6.59245921753736,1.7590580349645,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
4.  Other sectors,14999.72259828,23.617119647313,0.339903630006,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
5.  Other,32908.378,3.3888,0.3588,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,14724.805542998824,1024.367201151419,0.11869033527,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
1.  Solid fuels,2220.200193650392,372.1038080062771,0.03040050941565,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,12504.605349348432,652.263393145142,0.08828982585435,Summary1.As1,KAZAKHSTAN,2012,Subsector,1. Energy,,,
B.  Chemical industry,237.7052,,0.3214,Summary1.As1,KAZAKHSTAN,2012,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14275.677,0.35794,,Summary1.As1,KAZAKHSTAN,2012,Subsector,2.  Industrial processes and product use,,,530.26025
D.  Non-energy products from fuels and solvent use ,165.868,,,Summary1.As1,KAZAKHSTAN,2012,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2012,Subsector,2.  Industrial processes and product use,1259.5725250986548,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2012,Subsector,2.  Industrial processes and product use,,8.0115e-05,
A. Fuel combustion     Reference approach(2),223868.175354085,,,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
                                           Sectoral approach(2),217541.97646473933,34.25308704273825,4.36361428419727,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
1.  Energy industries,115028.117,1.627836,1.5225509,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,27326.952,2.275991,0.3902822,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
3.  Transport,22601.61078749933,6.41082226798825,1.77948253250027,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
4.  Other sectors,13511.14267724,19.61243777475,0.294598651697,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
5.  Other,39074.154,4.326,0.3767,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,15637.362284827412,1054.0315180081864,0.12518361504104,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
1.  Solid fuels,2251.018368054043,372.2270566717,0.03082600755,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,13386.343916773369,681.8044613364864,0.09435760749104,Summary1.As1,KAZAKHSTAN,2013,Subsector,1. Energy,,,
B.  Chemical industry,259.2834,,0.343,Summary1.As1,KAZAKHSTAN,2013,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14061.355,0.32312,,Summary1.As1,KAZAKHSTAN,2013,Subsector,2.  Industrial processes and product use,,,236.45209
D.  Non-energy products from fuels and solvent use ,140.083,,,Summary1.As1,KAZAKHSTAN,2013,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2013,Subsector,2.  Industrial processes and product use,1328.2196652793807,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2013,Subsector,2.  Industrial processes and product use,,8.4442e-05,
A. Fuel combustion     Reference approach(2),227692.26858026025,,,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
                                           Sectoral approach(2),237244.62284526575,54.69765557878539,4.66862552014381,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
1.  Energy industries,114078.667,1.549846,1.459131,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,34681.202,3.125581,0.514111,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
3.  Transport,23689.586207885797,6.69167599085039,1.93638455876981,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
4.  Other sectors,24551.89863738,39.217952587935,0.340598961374,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
5.  Other,40243.269,4.1126,0.4184,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,14895.668321435016,1051.0691783477018,0.12518205728176,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
1.  Solid fuels,2089.958198236501,373.3746248772,0.0286025658,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,12805.710123198514,677.6945534705018,0.09657949148176,Summary1.As1,KAZAKHSTAN,2014,Subsector,1. Energy,,,
B.  Chemical industry,348.1165,,0.5441,Summary1.As1,KAZAKHSTAN,2014,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14768.731,0.39034,,Summary1.As1,KAZAKHSTAN,2014,Subsector,2.  Industrial processes and product use,,,199.76373
D.  Non-energy products from fuels and solvent use ,98.857,,,Summary1.As1,KAZAKHSTAN,2014,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2014,Subsector,2.  Industrial processes and product use,1619.8685950891506,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2014,Subsector,2.  Industrial processes and product use,,8.8108e-05,
A. Fuel combustion     Reference approach(2),223257.3175764098,,,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
                                           Sectoral approach(2),240675.5605474975,55.33547628789132,4.2316292002308,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
1.  Energy industries,107710.2486,1.5243287,1.354475,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,36963.879,3.290261,0.538151,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
3.  Transport,21426.09948285752,6.34678819824732,1.5459562230408,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
4.  Other sectors,26356.41046464,39.373898389644,0.36484697719,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
5.  Other,48218.923,4.8002,0.4282,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,14290.388230117756,1006.8565130687,0.11763833356175,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
1.  Solid fuels,1875.707141829404,349.337746368,0.025652052,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,12414.68108828835,657.5187667007,0.09198628156175,Summary1.As1,KAZAKHSTAN,2015,Subsector,1. Energy,,,
B.  Chemical industry,393.1984,,0.6019,Summary1.As1,KAZAKHSTAN,2015,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14565.343,0.38293,,Summary1.As1,KAZAKHSTAN,2015,Subsector,2.  Industrial processes and product use,,,196.66117
D.  Non-energy products from fuels and solvent use ,150.773,,,Summary1.As1,KAZAKHSTAN,2015,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2015,Subsector,2.  Industrial processes and product use,1698.5359490201456,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2015,Subsector,2.  Industrial processes and product use,,8.8284e-05,
A. Fuel combustion     Reference approach(2),231316.44080737888,,,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
                                           Sectoral approach(2),242633.0755470817,58.51142445399571,4.27293726981429,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
1.  Energy industries,110815.033,1.55954205,1.39845,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,36001.807,3.338574,0.5357286,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
3.  Transport,22540.53214728172,6.92906971247171,1.63729114605029,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
4.  Other sectors,26040.6753998,41.936338691524,0.337967523764,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
5.  Other,47235.028,4.7479,0.3635,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,12330.472116349889,982.0079296865844,0.09481429678667,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
1.  Solid fuels,1887.3480308575408,344.462257735,0.0257972025,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,10443.124085492344,637.5456719515844,0.06901709428667,Summary1.As1,KAZAKHSTAN,2016,Subsector,1. Energy,,,
B.  Chemical industry,405.5844,,0.6606,Summary1.As1,KAZAKHSTAN,2016,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,14948.601,0.40901,,Summary1.As1,KAZAKHSTAN,2016,Subsector,2.  Industrial processes and product use,,,209.06524
D.  Non-energy products from fuels and solvent use ,185.83,,,Summary1.As1,KAZAKHSTAN,2016,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2016,Subsector,2.  Industrial processes and product use,1740.314641299654,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2016,Subsector,2.  Industrial processes and product use,,9.0424e-05,
A. Fuel combustion     Reference approach(2),247506.1225749745,,,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
                                           Sectoral approach(2),257832.42988114804,70.89502025466489,4.50822755200654,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
1.  Energy industries,117984.61897,1.6682459,1.501907,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,36669.5555,3.37567238,0.53938425,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
3.  Transport,23879.62383348803,8.44309763782589,1.76893677108954,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
4.  Other sectors,29029.83957766,52.496604336839,0.397699530917,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
5.  Other,50268.792,4.9114,0.3003,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,12322.67572828767,1055.9843617666306,0.08836666702037,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
1.  Solid fuels,1860.1342794718807,347.871634722,0.025414533,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,10462.541448815788,708.1127270446306,0.06295213402037,Summary1.As1,KAZAKHSTAN,2017,Subsector,1. Energy,,,
B.  Chemical industry,420.83,,0.6966,Summary1.As1,KAZAKHSTAN,2017,Subsector,2.  Industrial processes and product use,,,
C.  Metal industry,15189.3704,0.39139,,Summary1.As1,KAZAKHSTAN,2017,Subsector,2.  Industrial processes and product use,,,84.05921
D.  Non-energy products from fuels and solvent use ,158.959,,,Summary1.As1,KAZAKHSTAN,2017,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,KAZAKHSTAN,2017,Subsector,2.  Industrial processes and product use,1968.387042175841,,
G.  Other product manufacture and use ,,,,Summary1.As1,KAZAKHSTAN,2017,Subsector,2.  Industrial processes and product use,,9.196926e-05,
A. Fuel combustion     Reference approach(2),272338.6275229821,,,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
                                           Sectoral approach(2),273039.5734161951,73.67722748632735,4.65938674672459,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
1.  Energy industries,124717.3533,1.7088371,1.599026,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,35679.111,3.324485,0.5236239,Summary1.As1,KAZAKHSTAN,2018,Subsector,1. Energy,,,
