GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
2.  Industrial processes and product use,4657.43680880304,2.61668582,2.38594,Summary1.As1,BLR,2017,Sector,179.0165083595801,12.54073261634235,0.000267120938
1. Energy,56440.74095420701,121.96421987661928,1.8933026035728,Summary1.As1,BLR,2018,Sector,,,
2.  Industrial processes and product use,4655.885428875297,2.744579,2.52287,Summary1.As1,BLR,2018,Sector,187.1624135030142,11.85597952273138,0.000283840041
1. Energy,56031.17223213659,122.65814370229486,1.86376129245872,Summary1.As1,BLR,2019,Sector,,,
2.  Industrial processes and product use,5040.038616435025,2.9838469,2.8789508,Summary1.As1,BLR,2019,Sector,191.0136191444684,11.18585389093683,0.000423958289
1. Energy,53037.89775447804,125.07823920793558,1.78360086066644,Summary1.As1,BLR,2020,Sector,,,
2.  Industrial processes and product use,5038.760736005472,2.85080862,3.1414165,Summary1.As1,BLR,2020,Sector,200.98328850960343,10.65571709858916,0.00046163378
1. Energy,54866.41584558,124.7271030893,1.801993593848,Summary1.As1,BLR,2021,Sector,,,
2.  Industrial processes and product use,5111.9877406000005,2.8964609,2.9913,Summary1.As1,BLR,2021,Sector,208.962636965765,10.5373307061,0.00046027426
3.  Agriculture,2455.557206666667,517.286357241992,48.59597751799253,Summary1.As2,BLR,1990,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-29423.94690279177,0.316889088,0.0568667503,Summary1.As2,BLR,1990,Sector,,,
5.  Waste,24.09870013505315,173.62141809920865,0.49967186390361,Summary1.As2,BLR,1990,Sector,,,
3.  Agriculture,2191.8132133333334,483.8318709975323,47.53974525424452,Summary1.As2,BLR,1991,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-29647.68608465462,0.146496192,0.0470872387,Summary1.As2,BLR,1991,Sector,,,
5.  Waste,22.21900152451901,171.65499682073892,0.48570952992484,Summary1.As2,BLR,1991,Sector,,,
3.  Agriculture,1963.225146666667,437.6274750934107,42.41144548950344,Summary1.As2,BLR,1992,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-28652.440318056983,5.713004672,0.4282415712,Summary1.As2,BLR,1992,Sector,,,
5.  Waste,20.33930291398486,163.353805496989,0.47255192788034,Summary1.As2,BLR,1992,Sector,,,
3.  Agriculture,1621.513153333333,414.4978860392963,42.81321704678622,Summary1.As2,BLR,1993,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-21763.81298651443,0.33351872,0.062107537,Summary1.As2,BLR,1993,Sector,,,
5.  Waste,18.45960430345071,158.60399258319552,0.45933948172156,Summary1.As2,BLR,1993,Sector,,,
3.  Agriculture,970.83316,394.6818903093108,35.35324158420216,Summary1.As2,BLR,1994,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-30191.180633397693,0.43182656,0.069377451,Summary1.As2,BLR,1994,Sector,,,
5.  Waste,16.57990569291657,156.65342973327392,0.44632793877707,Summary1.As2,BLR,1994,Sector,,,
3.  Agriculture,1077.3490933333333,367.4030592418861,33.1287213325453,Summary1.As2,BLR,1995,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-29987.70496066609,0.84589312,0.098205152,Summary1.As2,BLR,1995,Sector,,,
5.  Waste,14.70020708238242,155.83033195143972,0.43069301108115,Summary1.As2,BLR,1995,Sector,,,
3.  Agriculture,1098.23098,347.52920718648954,34.54055196991613,Summary1.As2,BLR,1996,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-29447.50146157345,1.08073344,0.115286674,Summary1.As2,BLR,1996,Sector,,,
5.  Waste,16.61364387310564,156.87772672301838,0.4539312419594,Summary1.As2,BLR,1996,Sector,,,
3.  Agriculture,1288.7767933333332,341.12497724951675,35.79588003465766,Summary1.As2,BLR,1997,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-28715.942375221064,0.16706128,0.052109213,Summary1.As2,BLR,1997,Sector,,,
5.  Waste,18.52708066382886,160.4048571791161,0.47313569065194,Summary1.As2,BLR,1997,Sector,,,
3.  Agriculture,1168.7266066666666,338.67171693132144,36.69160278187828,Summary1.As2,BLR,1998,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-27260.69296538065,0.1905864,0.052741565,Summary1.As2,BLR,1998,Sector,,,
5.  Waste,20.44051745455208,164.00333820503073,0.49722584916877,Summary1.As2,BLR,1998,Sector,,,
3.  Agriculture,873.73242,320.7264057459691,33.09665462812366,Summary1.As2,BLR,1999,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-33429.05475800517,0.6345552,0.08452442,Summary1.As2,BLR,1999,Sector,,,
5.  Waste,22.3539542452753,166.67988278219468,0.51762653169133,Summary1.As2,BLR,1999,Sector,,,
3.  Agriculture,800.1902333333334,306.4022735782502,33.03161704309382,Summary1.As2,BLR,2000,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-34666.76428019964,0.3669792,0.06650357,Summary1.As2,BLR,2000,Sector,,,
5.  Waste,26.525439238653,170.689441505054,0.51713573856886,Summary1.As2,BLR,2000,Sector,,,
3.  Agriculture,864.8051133333333,306.7655083235084,32.01861119820594,Summary1.As2,BLR,2001,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-33736.275812487715,0.14731216,0.046863961,Summary1.As2,BLR,2001,Sector,,,
5.  Waste,28.987,167.5542901183488,0.52498898692143,Summary1.As2,BLR,2001,Sector,,,
3.  Agriculture,967.1295333333334,301.3832501118609,30.4663680856319,Summary1.As2,BLR,2002,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-32233.844796098318,2.37052672,0.203319962,Summary1.As2,BLR,2002,Sector,,,
5.  Waste,12.420015,169.3574520267978,0.52407645808,Summary1.As2,BLR,2002,Sector,,,
3.  Agriculture,1295.1392666666666,296.08046226044064,32.19495312661566,Summary1.As2,BLR,2003,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-29510.24306133216,0.783192832,0.0972576322,Summary1.As2,BLR,2003,Sector,,,
5.  Waste,36.156,172.116597463245,0.49817632763763,Summary1.As2,BLR,2003,Sector,,,
3.  Agriculture,1313.1983333333333,298.10479302124344,33.00538434736656,Summary1.As2,BLR,2004,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-32001.757993150637,0.191997904,0.0569386059,Summary1.As2,BLR,2004,Sector,,,
5.  Waste,44.81,176.43026935613787,0.50657757114286,Summary1.As2,BLR,2004,Sector,,,
3.  Agriculture,1496.1386,310.5074357384833,34.31250967896593,Summary1.As2,BLR,2005,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-34095.48732266821,0.163267216,0.0566133711,Summary1.As2,BLR,2005,Sector,,,
5.  Waste,40.506,184.24607185897295,0.51328816717,Summary1.As2,BLR,2005,Sector,,,
3.  Agriculture,1393.7557333333334,317.7763168947687,35.72354539188527,Summary1.As2,BLR,2006,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-36844.3603061026,0.459876928,0.0770202888,Summary1.As2,BLR,2006,Sector,,,
5.  Waste,38.272,187.49263667492903,0.512081572641,Summary1.As2,BLR,2006,Sector,,,
3.  Agriculture,1373.3727333333334,317.8416534254201,35.03868259447277,Summary1.As2,BLR,2007,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-39172.81550721175,0.216501584,0.0594813589,Summary1.As2,BLR,2007,Sector,,,
5.  Waste,36.420125,192.90574143683227,0.51025034646111,Summary1.As2,BLR,2007,Sector,,,
3.  Agriculture,1318.5340666666666,322.6168621492474,36.8561887142393,Summary1.As2,BLR,2008,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-39566.05668689662,0.2090248,0.058049205,Summary1.As2,BLR,2008,Sector,,,
5.  Waste,39.93,195.74869923175908,0.49516904530425,Summary1.As2,BLR,2008,Sector,,,
3.  Agriculture,1178.7673333333332,334.5844093166179,38.12687320141388,Summary1.As2,BLR,2009,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-42750.75024177324,0.416694864,0.0733958974,Summary1.As2,BLR,2009,Sector,,,
5.  Waste,46.00614,191.83672465037267,0.46919137557579,Summary1.As2,BLR,2009,Sector,,,
3.  Agriculture,1319.1493333333333,338.5842218195177,37.36889510760322,Summary1.As2,BLR,2010,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-46168.069175927056,0.215503008,0.0552545823,Summary1.As2,BLR,2010,Sector,,,
5.  Waste,81.7571,197.95909448676392,0.47106790198098,Summary1.As2,BLR,2010,Sector,,,
3.  Agriculture,1206.9574,342.0418554926891,39.07646056875015,Summary1.As2,BLR,2011,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-45248.78463920819,0.199302432,0.0530220422,Summary1.As2,BLR,2011,Sector,,,
5.  Waste,72.474,200.00115757031068,0.48618572707469,Summary1.As2,BLR,2011,Sector,,,
3.  Agriculture,1299.9756000000002,350.8282598526497,38.13149980860757,Summary1.As2,BLR,2012,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-43467.20469314867,0.207266896,0.0516833491,Summary1.As2,BLR,2012,Sector,,,
5.  Waste,38.831,203.77438360460775,0.49385517554554,Summary1.As2,BLR,2012,Sector,,,
3.  Agriculture,922.2920666666668,358.3333268335573,37.87792365485013,Summary1.As2,BLR,2013,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-46040.56922534831,0.21499248,0.051522608,Summary1.As2,BLR,2013,Sector,,,
5.  Waste,38.518,215.0634825574882,0.50571409298818,Summary1.As2,BLR,2013,Sector,,,
3.  Agriculture,1115.6319999999998,350.5641659361298,36.15730151423759,Summary1.As2,BLR,2014,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-45625.709137793805,0.27357392,0.055209457,Summary1.As2,BLR,2014,Sector,,,
5.  Waste,41.47244,217.90132586374165,0.52789370670788,Summary1.As2,BLR,2014,Sector,,,
3.  Agriculture,967.108,353.35059842549447,35.8129950660988,Summary1.As2,BLR,2015,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-43922.25322672013,2.248324368,0.1925685503,Summary1.As2,BLR,2015,Sector,,,
5.  Waste,36.283,214.66238346288856,0.53041365617966,Summary1.As2,BLR,2015,Sector,,,
3.  Agriculture,926.872,353.32559389031417,36.21033670968569,Summary1.As2,BLR,2016,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-40134.51844484896,0.1869344,0.054712365,Summary1.As2,BLR,2016,Sector,,,
5.  Waste,35.509,211.4012908386163,0.5232061456783,Summary1.As2,BLR,2016,Sector,,,
3.  Agriculture,1166.8716986666668,351.8620207557814,36.83809724133715,Summary1.As2,BLR,2017,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-36981.74177860232,0.190189552,0.0531799067,Summary1.As2,BLR,2017,Sector,,,
5.  Waste,40.323,215.5361457836404,0.51783899297246,Summary1.As2,BLR,2017,Sector,,,
3.  Agriculture,984.4680633333336,350.4350226729599,36.50915410489025,Summary1.As2,BLR,2018,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-39946.84494386354,0.498688672,0.0737817212,Summary1.As2,BLR,2018,Sector,,,
5.  Waste,75.838,224.0842552365968,0.52592668828778,Summary1.As2,BLR,2018,Sector,,,
3.  Agriculture,924.72589,349.96485480755285,36.49852206856924,Summary1.As2,BLR,2019,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-35688.74203490881,1.0434988,0.108884918,Summary1.As2,BLR,2019,Sector,,,
5.  Waste,100.407,225.6586111746291,0.52173,Summary1.As2,BLR,2019,Sector,,,
3.  Agriculture,951.5734433333332,353.2940175146442,38.10674595443271,Summary1.As2,BLR,2020,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-37505.33570174335,0.96735888,0.109846297,Summary1.As2,BLR,2020,Sector,,,
5.  Waste,27.319,225.9005282,0.5197558,Summary1.As2,BLR,2020,Sector,,,
3.  Agriculture,933.4788276282524,357.0918512892549,37.98024823330161,Summary1.As2,BLR,2021,Sector,,,
"4.  Land use, land-use change and forestry  (4)",-43104.19106161804,0.67977392,0.046686332,Summary1.As2,BLR,2021,Sector,,,
5.  Waste,26.3145,230.3221287,0.6426347,Summary1.As2,BLR,2021,Sector,,,
International bunkers,221.666445,0.001550115,0.00620046,Summary1.As3,BLR,1990,Sector,,,
CO2 emissions from biomass,955.136,,,Summary1.As3,BLR,1990,Sector,,,
Indirect N2O,,,9.34533043276075,Summary1.As3,BLR,1990,Sector,,,
International bunkers,269.90964,0.00188748,0.00754992,Summary1.As3,BLR,1991,Sector,,,
CO2 emissions from biomass,1033.088,,,Summary1.As3,BLR,1991,Sector,,,
Indirect N2O,,,8.41964481410247,Summary1.As3,BLR,1991,Sector,,,
International bunkers,177.83766000000003,0.00124362,0.00497448,Summary1.As3,BLR,1992,Sector,,,
CO2 emissions from biomass,1111.04,,,Summary1.As3,BLR,1992,Sector,,,
Indirect N2O,,,7.26045578195395,Summary1.As3,BLR,1992,Sector,,,
International bunkers,330.45012,0.00231084,0.00924336,Summary1.As3,BLR,1993,Sector,,,
CO2 emissions from biomass,1188.992,,,Summary1.As3,BLR,1993,Sector,,,
Indirect N2O,,,6.80207924778176,Summary1.As3,BLR,1993,Sector,,,
International bunkers,69.99993,0.00048951,0.00195804,Summary1.As3,BLR,1994,Sector,,,
CO2 emissions from biomass,1608.544,,,Summary1.As3,BLR,1994,Sector,,,
Indirect N2O,,,5.3684065481832,Summary1.As3,BLR,1994,Sector,,,
International bunkers,71.26119,0.00049833,0.00199332,Summary1.As3,BLR,1995,Sector,,,
CO2 emissions from biomass,1832.096,,,Summary1.As3,BLR,1995,Sector,,,
Indirect N2O,,,4.82070956411941,Summary1.As3,BLR,1995,Sector,,,
International bunkers,97.74765000000002,0.00068355,0.0027342,Summary1.As3,BLR,1996,Sector,,,
CO2 emissions from biomass,2614.416,,,Summary1.As3,BLR,1996,Sector,,,
Indirect N2O,,,5.1497379952517,Summary1.As3,BLR,1996,Sector,,,
International bunkers,66.84678,0.00046746,0.00186984,Summary1.As3,BLR,1997,Sector,,,
CO2 emissions from biomass,2848.496,,,Summary1.As3,BLR,1997,Sector,,,
Indirect N2O,,,5.44842232344166,Summary1.As3,BLR,1997,Sector,,,
International bunkers,23.017995,0.000160965,0.00064386,Summary1.As3,BLR,1998,Sector,,,
CO2 emissions from biomass,3045.392,,,Summary1.As3,BLR,1998,Sector,,,
Indirect N2O,,,5.44108392992463,Summary1.As3,BLR,1998,Sector,,,
International bunkers,154.50435,0.00108045,0.0043218,Summary1.As3,BLR,1999,Sector,,,
CO2 emissions from biomass,3247.216,,,Summary1.As3,BLR,1999,Sector,,,
Indirect N2O,,,5.00042721591625,Summary1.As3,BLR,1999,Sector,,,
International bunkers,126.441315,0.000884205,0.00353682,Summary1.As3,BLR,2000,Sector,,,
CO2 emissions from biomass,3817.52,,,Summary1.As3,BLR,2000,Sector,,,
Indirect N2O,,,5.05509236502904,Summary1.As3,BLR,2000,Sector,,,
International bunkers,169.95478500000004,0.001188495,0.00475398,Summary1.As3,BLR,2001,Sector,,,
CO2 emissions from biomass,4260.592,,,Summary1.As3,BLR,2001,Sector,,,
Indirect N2O,,,4.73072055910418,Summary1.As3,BLR,2001,Sector,,,
International bunkers,196.12593000000004,0.00137151,0.00548604,Summary1.As3,BLR,2002,Sector,,,
CO2 emissions from biomass,4462.416,,,Summary1.As3,BLR,2002,Sector,,,
Indirect N2O,,,4.3803284157415,Summary1.As3,BLR,2002,Sector,,,
International bunkers,213.468255,0.001492785,0.00597114,Summary1.As3,BLR,2003,Sector,,,
CO2 emissions from biomass,4483.808,,,Summary1.As3,BLR,2003,Sector,,,
Indirect N2O,,,4.84215648298157,Summary1.As3,BLR,2003,Sector,,,
International bunkers,226.71148500000004,0.001585395,0.00634158,Summary1.As3,BLR,2004,Sector,,,
CO2 emissions from biomass,4653.04,,,Summary1.As3,BLR,2004,Sector,,,
Indirect N2O,,,5.13320060702732,Summary1.As3,BLR,2004,Sector,,,
International bunkers,168.693525,0.001179675,0.0047187,Summary1.As3,BLR,2005,Sector,,,
CO2 emissions from biomass,5274.304,,,Summary1.As3,BLR,2005,Sector,,,
Indirect N2O,,,5.45768342906178,Summary1.As3,BLR,2005,Sector,,,
International bunkers,215.67546000000004,0.00150822,0.00603288,Summary1.As3,BLR,2006,Sector,,,
CO2 emissions from biomass,5875.52,,,Summary1.As3,BLR,2006,Sector,,,
Indirect N2O,,,5.97516722346583,Summary1.As3,BLR,2006,Sector,,,
International bunkers,223.87365,0.00156555,0.0062622,Summary1.As3,BLR,2007,Sector,,,
CO2 emissions from biomass,5963.328,,,Summary1.As3,BLR,2007,Sector,,,
Indirect N2O,,,5.83686553303091,Summary1.As3,BLR,2007,Sector,,,
International bunkers,256.66641000000004,0.00179487,0.00717948,Summary1.As3,BLR,2008,Sector,,,
CO2 emissions from biomass,5992.336,,,Summary1.As3,BLR,2008,Sector,,,
Indirect N2O,,,6.38938424416452,Summary1.As3,BLR,2008,Sector,,,
International bunkers,182.25207,0.00127449,0.00509796,Summary1.As3,BLR,2009,Sector,,,
CO2 emissions from biomass,6140.288,,,Summary1.As3,BLR,2009,Sector,,,
Indirect N2O,,,6.65695965683803,Summary1.As3,BLR,2009,Sector,,,
International bunkers,240.27003,0.00168021,0.00672084,Summary1.As3,BLR,2010,Sector,,,
CO2 emissions from biomass,6650.224,,,Summary1.As3,BLR,2010,Sector,,,
Indirect N2O,,,6.48796944033748,Summary1.As3,BLR,2010,Sector,,,
International bunkers,255.40515,0.00178605,0.0071442,Summary1.As3,BLR,2011,Sector,,,
CO2 emissions from biomass,7068.2080000000005,,,Summary1.As3,BLR,2011,Sector,,,
Indirect N2O,,,7.09550826656326,Summary1.As3,BLR,2011,Sector,,,
International bunkers,276.84657,0.00193599,0.00774396,Summary1.As3,BLR,2012,Sector,,,
CO2 emissions from biomass,6114.7520144,,,Summary1.As3,BLR,2012,Sector,,,
Indirect N2O,,,6.88726408906262,Summary1.As3,BLR,2012,Sector,,,
International bunkers,309.0087,0.0021609,0.0086436,Summary1.As3,BLR,2013,Sector,,,
CO2 emissions from biomass,5279.946728000001,,,Summary1.As3,BLR,2013,Sector,,,
Indirect N2O,,,6.76920613187467,Summary1.As3,BLR,2013,Sector,,,
International bunkers,368.28792,0.00257544,0.01030176,Summary1.As3,BLR,2014,Sector,,,
CO2 emissions from biomass,4959.4731728,,,Summary1.As3,BLR,2014,Sector,,,
Indirect N2O,,,6.38833256156446,Summary1.As3,BLR,2014,Sector,,,
International bunkers,361.98162,0.00253134,0.01012536,Summary1.As3,BLR,2015,Sector,,,
CO2 emissions from biomass,4716.233480000001,,,Summary1.As3,BLR,2015,Sector,,,
Indirect N2O,,,6.14508529240382,Summary1.As3,BLR,2015,Sector,,,
International bunkers,390.9906000000001,0.0027342,0.0109368,Summary1.As3,BLR,2016,Sector,,,
CO2 emissions from biomass,4426.571804800001,,,Summary1.As3,BLR,2016,Sector,,,
Indirect N2O,,,6.10817652207663,Summary1.As3,BLR,2016,Sector,,,
International bunkers,413.69328,0.00289296,0.01157184,Summary1.As3,BLR,2017,Sector,,,
CO2 emissions from biomass,4813.6674656000005,,,Summary1.As3,BLR,2017,Sector,,,
Indirect N2O,,,6.4123738442656,Summary1.As3,BLR,2017,Sector,,,
International bunkers,455.94549,0.00318843,0.01275372,Summary1.As3,BLR,2018,Sector,,,
CO2 emissions from biomass,4612.416782400001,,,Summary1.As3,BLR,2018,Sector,,,
Indirect N2O,,,6.117989929,Summary1.As3,BLR,2018,Sector,,,
International bunkers,586.4859,0.0041013,0.0164052,Summary1.As3,BLR,2019,Sector,,,
CO2 emissions from biomass,4931.490032,,,Summary1.As3,BLR,2019,Sector,,,
Indirect N2O,,,6.350495573,Summary1.As3,BLR,2019,Sector,,,
International bunkers,332.97264,0.00232848,0.00931392,Summary1.As3,BLR,2020,Sector,,,
CO2 emissions from biomass,5191.088032000001,,,Summary1.As3,BLR,2020,Sector,,,
Indirect N2O,,,6.5845,Summary1.As3,BLR,2020,Sector,,,
International bunkers,332.97264,0.00232848,0.00931392,Summary1.As3,BLR,2021,Sector,,,
CO2 emissions from biomass,6009.470823904,,,Summary1.As3,BLR,2021,Sector,,,
Indirect N2O,,,6.24,Summary1.As3,BLR,2021,Sector,,,
